Title,Location,Company,Salary,Summary
Chief of the Applied Clinical Informatics Branch (ACIB),Remote,National Institutes of Health,None,"Specifically, this position will manage a budget and oversee a substantial staff in a range of Federal appointment authorities and contracts that have…"
"Data Scientist, Data Quality Engineer",None,InsideTracker,Full-time,"Collaborate across teams such as engineering, data science, and QA to test and monitor data platforms."
Postdoctoral Fellow,None,ViQi,"$78,000 a year","Emphasis will be placed on members of socio-economic disadvantaged groups, members of underrepresented groups in science and engineering, persons with…"
"AI/ML Engineer, Protein Design",Remote,Ginkgo Bioworks,"From $110,000 a year","PhD in bioengineering, computer science, math, biophysics, computational biology, bioinformatics, chemical engineering, or related field."
"Data Scientist, Senior",None,Booz Allen Hamilton,"$93,300 - $212,000 a year",3+ years of experience with bioinformatics software development or advanced health data analytics.
Data Engineer (Remote),None,U-Haul,Full-time,Proficient in data analysis and visualization using Python and application PowerBI.
Software Engineer,None,Champions Oncology Inc.,Full-time,"Using computational and experimental testing platforms, Champions Oncology improves decision making for effective therapeutic development."
Senior Data Scientist,None,Sanofi,None,"Constantly monitor literature to maintain in-depth knowledge of the most recent developments in data science, bioinformatics, and cutting-edge AI/ML/DL…"
Global Research Postdoctoral Fellow - AI for Patient Stratification and Precision Medicine,None,Sanofi,None,"Solid understanding of computational biology, bioinformatics, or a related field."
"Senior Computational Biologist, Cancer Proteomics and Immunology (Remote)",None,Freenome Holdings,None,Build bioinformatics pipelines and bespoke computational tools to enable reproducible research analysis.
Staff Machine Learning Scientist (Remote),None,Freenome Holdings,None,Experience in NGS data analysis and bioinformatic pipelines.
"Staff Software Engineer, Infrastructure (Remote)",None,Freenome Holdings,None,"B.S. or M.S. in computer science or a related technical field, or comparable experience."
Senior Statistical Programmer - FSP,None,Novasyte,Full-time,"Perform, plan and co-ordinate the following for complex studies: (1) the programming, testing, and documentation of statistical programs for use in creating…"
"Associate Director, Clinical Data Science - CEG",None,Eisai,Full-time,"Establish, develop, and implement optimal bioinformatics pipelines for the analysis of next-generation sequencing and other -omics data."
Full-Time Faculty Positions - Biology,None,Louisiana State University,Full-time,"Please submit applications through LSU Careers, uploading the following as a single PDF: (I) cover letter, (2) CV that includes contact information for three…"
Bioinformatics Scientist III – Remote,Remote,Maxis Clinical Sciences,$42 - $45 an hour,"Perform bulk and single cell RNA-seq data analysis, including quality control, normalization, clustering, and differential expression analysis as well as…"
Bioinformatician (CDC),Remote,4ES Corporation,"$85,000 - $120,000 a year",This position is for a bioinformatician with experience who can lead various wastewater bioinformatic and genomic analyses and assist with bioinformatics…
"Bioinformatics Scientist(Data Manipulation,NGS,RNAseq,R,Python,Linux,Unix)",Remote,Tellus Solutions,$59 an hour,The ideal candidate should have a strong background in bioinformatics and Next Generation Sequencing (NGS) data analysis along with proficiency in programming…
Bioinformatician,Remote,4ES Corporation,"$85,000 - $120,000 a year","Consult during experimental design and working closely with experimental researchers to generate/provide analysis reports, project reports and perform requested…"
Biostatistician,Remote,Binding Minds,$40.45 - $100.05 an hour,"Protocol Development, Case Report Form (CRF; review), Statistical Analysis Plan (SAP), Statistical Analysis, Results Interpretation, and clinical study report …"
Bioinformatics Scientist,Remote,Fladger Associates,$30 - $45 an hour,"Perform bulk and single cell RNA-seq data analysis, including quality control, normalization, clustering, and differential expression analysis as well as…"
Senior Data Engineer,Remote,ENVISN INCORPORATED,$70 - $75 an hour,Be a critical senior member of a data engineering team focused on creating distributed analysis capabilities around a large variety of datasets.
Research Biostatistician,Remote,Millennium Health,"$130,000 - $150,000 a year",Represent the Bioinformatics group and its capabilities in meetings with peers with diverse backgrounds.
Senior Bioinformatics Role at Cancer Diagnostics Company,Remote,Genomic Expression Inc,Full-time,"This person must be skilled in all facets of bioinformatics analysis, and possess deep expertise in analysis of tumor RNA and DNA sequencing data."
Senior Software Engineer - Data,Remote,Natera,None,Implementation of bioinformatics analyses and applications workflows.
Data and Machine Learning Scientist,None,Catalytic Data Science,Full-time,"Ph.D. degree with 3+ years (or MS degree with 5+ years) of working experience in industry in the field of systems biology, bioinformatics, computational biology…"
Global Talent Fellow,Remote,Open Avenues Foundation,Part-time,We bring highly talented global professionals to launch experiential learning opportunitiesfor U.S. college and university students interested in STEM and…
Biostatistician,Remote,TruMinds Technologies,Up to $55 an hour,"Minimum MS in computer science, (bio)statistics, or similar quantitative degree."
Senior Biostatistician - Remote,Remote,Maxis Clinical Sciences,$75 - $90 an hour,Conduct statistical analysis of clinical trial data using biostatistical methods and techniques.
Full Stack Developer,None,Axle Informatics,Full-time,"Collaborate with cross-functional teams, including designers and other developers, to translate business requirements into high-quality software solutions."
Machine Learning/Data Scientist,None,Protein Evolution,None,"Strong programming skills with experience in Python libraries for data science analysis (e.g. NumPy, Pandas, Matplotlib)."
Field Application Scientist,Remote,Singular Genomics,None,"You will be responsible for conducting trainings at customer sites and providing experimental design, data analysis, logistical, and troubleshooting support."
Senior Data Engineer,Remote,Invitae,"$138,400 - $173,000 a year","Support and collaborate with multiple teams to gather requirements, design software, and implement features that support multiple teams and use cases across…"
PKPD Modeling & Simulation Scientist,Remote,Metrum Research Group,Full-time,Perform model-based meta-analysis of therapeutic area summary-level data.
"Product Manager, Platform",None,"Galatea Bio, Inc.","$125,000 a year","Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
Post Doctoral Associate,None,University of Massachusetts Medical School,Full-time,"PhD in cellular and molecular biology, cellular and molecular physiology, biochemistry or related biological/biomedical science."
Data Integration Engineer - Remote,None,"Inteliquet, Inc",Full-time,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
"Principal Bioinformatics Data Scientist, Liquid Biopsy",None,Tempus,"$180,000 - $250,000 a year",Communicate with outside scientific teams as well as product and scientific leadership.
Software Engineer,Remote,"Gencove, Inc.",None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
Curation Scientist Step II,None,Fulgent Therapeutics Llc,"$95,000 - $110,000 a year","Compared to Step 1, GCS Step 2 has more responsibilities in research & development, must be approved by a laboratory director to perform del/dup analysis, and…"
ServiceNow Developer,None,Axle Informatics,Full-time,"Bachelor’s degree in computer science, information technology, computer information systems, or a similar field,."
Genomics Software Engineer,None,"TileDB, Inc.",Full-time,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Sr. DevOps Engineer,None,Axle Informatics,Full-time,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Senior Biostatistician - Remote,Remote,Maxis Clinical Sciences,$75 - $90 an hour,Conduct statistical analysis of clinical trial data using biostatistical methods and techniques.
Full Stack Developer,None,Axle Informatics,Full-time,Accessibility: If you need an accommodation as part of the employment process please contact:
Machine Learning/Data Scientist,None,Protein Evolution,None,"Strong programming skills with experience in Python libraries for data science analysis (e.g. NumPy, Pandas, Matplotlib)."
Field Application Scientist,Remote,Singular Genomics,None,"And in development, the PX platform leverages Singular's proprietary sequencing technology, applying it as a multi-omic in-situ readout for RNA and proteins for…"
Senior Data Engineer,Remote,Invitae,"$138,400 - $173,000 a year","Support and collaborate with multiple teams to gather requirements, design software, and implement features that support multiple teams and use cases across…"
PKPD Modeling & Simulation Scientist,Remote,Metrum Research Group,Full-time,Perform model-based meta-analysis of therapeutic area summary-level data.
"Product Manager, Platform",None,"Galatea Bio, Inc.","$125,000 a year","Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
Post Doctoral Associate,None,University of Massachusetts Medical School,Full-time,Please submit a cover letter and CV listing three references by email to Guocai Zhong at Guocai.Zhong@umassmed.edu.
Data Integration Engineer - Remote,None,"Inteliquet, Inc",Full-time,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
"Principal Bioinformatics Data Scientist, Liquid Biopsy",None,Tempus,"$180,000 - $250,000 a year",Communicate with outside scientific teams as well as product and scientific leadership.
Software Engineer,Remote,"Gencove, Inc.",None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
Curation Scientist Step II,None,Fulgent Therapeutics Llc,"$95,000 - $110,000 a year","Compared to Step 1, GCS Step 2 has more responsibilities in research & development, must be approved by a laboratory director to perform del/dup analysis, and…"
ServiceNow Developer,None,Axle Informatics,Full-time,"Bachelor’s degree in computer science, information technology, computer information systems, or a similar field,."
Genomics Software Engineer,None,"TileDB, Inc.",Full-time,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Sr. DevOps Engineer,None,Axle Informatics,Full-time,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Senior Biostatistician - Remote,Remote,Maxis Clinical Sciences,$75 - $90 an hour,Conduct statistical analysis of clinical trial data using biostatistical methods and techniques.
Full Stack Developer,None,Axle Informatics,Full-time,"Collaborate with cross-functional teams, including designers and other developers, to translate business requirements into high-quality software solutions."
Machine Learning/Data Scientist,None,Protein Evolution,None,"Strong programming skills with experience in Python libraries for data science analysis (e.g. NumPy, Pandas, Matplotlib)."
Field Application Scientist,Remote,Singular Genomics,None,"You will be responsible for conducting trainings at customer sites and providing experimental design, data analysis, logistical, and troubleshooting support."
Senior Data Engineer,Remote,Invitae,"$138,400 - $173,000 a year","Support and collaborate with multiple teams to gather requirements, design software, and implement features that support multiple teams and use cases across…"
PKPD Modeling & Simulation Scientist,Remote,Metrum Research Group,Full-time,Perform model-based meta-analysis of therapeutic area summary-level data.
"Product Manager, Platform",None,"Galatea Bio, Inc.","$125,000 a year","Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
Post Doctoral Associate,None,University of Massachusetts Medical School,Full-time,"PhD in cellular and molecular biology, cellular and molecular physiology, biochemistry or related biological/biomedical science."
Data Integration Engineer - Remote,None,"Inteliquet, Inc",Full-time,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
"Principal Bioinformatics Data Scientist, Liquid Biopsy",None,Tempus,"$180,000 - $250,000 a year",Communicate with outside scientific teams as well as product and scientific leadership.
Software Engineer,Remote,"Gencove, Inc.",None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
Curation Scientist Step II,None,Fulgent Therapeutics Llc,"$95,000 - $110,000 a year","Compared to Step 1, GCS Step 2 has more responsibilities in research & development, must be approved by a laboratory director to perform del/dup analysis, and…"
ServiceNow Developer,None,Axle Informatics,Full-time,"Bachelor’s degree in computer science, information technology, computer information systems, or a similar field,."
Genomics Software Engineer,None,"TileDB, Inc.",Full-time,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Sr. DevOps Engineer,None,Axle Informatics,Full-time,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Senior Biostatistician - Remote,Remote,Maxis Clinical Sciences,$75 - $90 an hour,Conduct statistical analysis of clinical trial data using biostatistical methods and techniques.
Full Stack Developer,None,Axle Informatics,Full-time,"Collaborate with cross-functional teams, including designers and other developers, to translate business requirements into high-quality software solutions."
Machine Learning/Data Scientist,None,Protein Evolution,None,"Strong programming skills with experience in Python libraries for data science analysis (e.g. NumPy, Pandas, Matplotlib)."
Field Application Scientist,Remote,Singular Genomics,None,"You will be responsible for conducting trainings at customer sites and providing experimental design, data analysis, logistical, and troubleshooting support."
Senior Data Engineer,Remote,Invitae,"$138,400 - $173,000 a year","Support and collaborate with multiple teams to gather requirements, design software, and implement features that support multiple teams and use cases across…"
PKPD Modeling & Simulation Scientist,Remote,Metrum Research Group,Full-time,Perform model-based meta-analysis of therapeutic area summary-level data.
"Product Manager, Platform",None,"Galatea Bio, Inc.","$125,000 a year","Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
Post Doctoral Associate,None,University of Massachusetts Medical School,Full-time,"PhD in cellular and molecular biology, cellular and molecular physiology, biochemistry or related biological/biomedical science."
Data Integration Engineer - Remote,None,"Inteliquet, Inc",Full-time,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
"Principal Bioinformatics Data Scientist, Liquid Biopsy",None,Tempus,"$180,000 - $250,000 a year",Communicate with outside scientific teams as well as product and scientific leadership.
Software Engineer,Remote,"Gencove, Inc.",None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
Curation Scientist Step II,None,Fulgent Therapeutics Llc,"$95,000 - $110,000 a year","Compared to Step 1, GCS Step 2 has more responsibilities in research & development, must be approved by a laboratory director to perform del/dup analysis, and…"
ServiceNow Developer,None,Axle Informatics,Full-time,"Bachelor’s degree in computer science, information technology, computer information systems, or a similar field,."
Genomics Software Engineer,None,"TileDB, Inc.",Full-time,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Sr. DevOps Engineer,None,Axle Informatics,Full-time,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Senior Biostatistician - Remote,Remote,Maxis Clinical Sciences,$75 - $90 an hour,Conduct statistical analysis of clinical trial data using biostatistical methods and techniques.
Full Stack Developer,None,Axle Informatics,Full-time,"Collaborate with cross-functional teams, including designers and other developers, to translate business requirements into high-quality software solutions."
Machine Learning/Data Scientist,None,Protein Evolution,None,"Strong programming skills with experience in Python libraries for data science analysis (e.g. NumPy, Pandas, Matplotlib)."
Field Application Scientist,Remote,Singular Genomics,None,"You will be responsible for conducting trainings at customer sites and providing experimental design, data analysis, logistical, and troubleshooting support."
Senior Data Engineer,Remote,Invitae,"$138,400 - $173,000 a year","Support and collaborate with multiple teams to gather requirements, design software, and implement features that support multiple teams and use cases across…"
PKPD Modeling & Simulation Scientist,Remote,Metrum Research Group,Full-time,Perform model-based meta-analysis of therapeutic area summary-level data.
"Product Manager, Platform",None,"Galatea Bio, Inc.","$125,000 a year","Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
Post Doctoral Associate,None,University of Massachusetts Medical School,Full-time,"PhD in cellular and molecular biology, cellular and molecular physiology, biochemistry or related biological/biomedical science."
Data Integration Engineer - Remote,None,"Inteliquet, Inc",Full-time,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
"Principal Bioinformatics Data Scientist, Liquid Biopsy",None,Tempus,"$180,000 - $250,000 a year",Communicate with outside scientific teams as well as product and scientific leadership.
Software Engineer,Remote,"Gencove, Inc.",None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
Curation Scientist Step II,None,Fulgent Therapeutics Llc,"$95,000 - $110,000 a year","Compared to Step 1, GCS Step 2 has more responsibilities in research & development, must be approved by a laboratory director to perform del/dup analysis, and…"
ServiceNow Developer,None,Axle Informatics,Full-time,"Bachelor’s degree in computer science, information technology, computer information systems, or a similar field,."
Genomics Software Engineer,None,"TileDB, Inc.",Full-time,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Sr. DevOps Engineer,None,Axle Informatics,Full-time,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
