Title,Location,Company,Salary,Summary
Field Application Scientist,Remote,Singular Genomics,None,"You will be responsible for conducting trainings at customer sites and providing experimental design, data analysis, logistical, and troubleshooting support."
"Product Manager, Platform",None,"Galatea Bio, Inc.",None,"Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
Data and Machine Learning Scientist,None,Catalytic Data Science,None,"Ph.D. degree with 3+ years (or MS degree with 5+ years) of working experience in industry in the field of systems biology, bioinformatics, computational biology…"
Biostatistician,Remote,Hummingbirds Innovations,None,"Minimum MS in computer science, (bio)statistics, or a similar quantitative degree."
Senior Infrastructure Engineer (MLOps),None,Absci,None,"Experience computational protein design, bioinformatics, computational genomics, immunology, structural biology, antibody engineering, or related fields."
Senior Data Engineer,Remote,ENVISN INCORPORATED,None,Be a critical senior member of a data engineering team focused on creating distributed analysis capabilities around a large variety of datasets.
Full Stack Developer,None,Axle Informatics,None,"Collaborate with cross-functional teams, including designers and other developers, to translate business requirements into high-quality software solutions."
Machine Learning/Data Scientist,None,Protein Evolution,None,"Strong programming skills with experience in Python libraries for data science analysis (e.g. NumPy, Pandas, Matplotlib)."
Data Integration Engineer - Remote,None,"Inteliquet, Inc",None,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
Senior Biostatistician - Remote,Remote,Maxis Clinical Sciences,None,Conduct statistical analysis of clinical trial data using biostatistical methods and techniques.
ServiceNow Developer,None,Axle Informatics,None,"Bachelor’s degree in computer science, information technology, computer information systems, or a similar field,."
Sr. DevOps Engineer,None,Axle Informatics,None,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Curation Scientist Step II,None,Fulgent Therapeutics Llc,None,"Compared to Step 1, GCS Step 2 has more responsibilities in research & development, must be approved by a laboratory director to perform del/dup analysis, and…"
Post Doctoral Associate,None,University of Massachusetts Medical School,None,"PhD in cellular and molecular biology, cellular and molecular physiology, biochemistry or related biological/biomedical science."
Genomics Software Engineer,None,"TileDB, Inc.",None,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Software Engineer,Remote,"Gencove, Inc.",None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
