Title,Location,Company,Salary,Summary
Associate Computational Scientist,"Remote in Farmington, CT",The Jackson Laboratory,None,"Under minimal supervision, performs computational analysis of omics data, algorithm development and implementation, as well as bioinformatics programming."
"Senior Scientist, Pathogen Genetics",Remote,Ginkgo Bioworks,"$130,000 a year","In collaboration with bioinformatics team, analyze and interpret sequencing data to inform product development."
"Staff Software Engineer, Infrastructure",Remote,Color,None,"You have a demonstrated interest in bioinformatics, computational biology or health data."
Research Biostatistician,"Remote in Houston, TX 77030",MD Anderson Cancer Center,None,"The primary purpose of the Research Biostatistician position is to carry out data preparation responsibilities related to cancer clinical trials, develop…"
Analytics Programmer II,Remote,Aperio Clinical Outcomes,None,"A minimum of 3 years of analytics programming experience in bioinformatics, healthcare, or clinical research."
Senior Bioinformatics Research Engineer (Remote),"Remote in South San Francisco, CA 94080",Freenome Holdings,None,"Manage and integrate data sources across the company (laboratory, bioinformatics, clinical) to enable advanced multiomic analysis."
"Senior Computational Biologist, Cancer Proteomics and Immunology (Remote)","Remote in South San Francisco, CA 94080",Freenome Holdings,None,Build bioinformatics pipelines and bespoke computational tools to enable reproducible research analysis.
Senior Computational Biologist,Remote,Verge Genomics,None,"Ph.D. with 2-5 years experience post-degree in computational biology, bioinformatics, data science or related fields (pre- & post-PhD employment will be…"
"Senior Software Engineer, Knowledge Tools Engineer",Remote,GeneDx,None,"Through both internal research efforts and global collaborations, we have identified and published hundreds of new disease-gene relationships and developed…"
Senior Research Scientist,Remote,National Institutes of Health,None,"The individual will (1) advise and direct fellows and mentor scientists in the use of FHIR, its benefits, and its application to associated coding systems; (2)…"
Principal Statistical Programmer,"Remote in Rochester, MN 55901",Mayo Clinic,"$87,152 - $130,770 a year",None
Associate Principal Computational Biologist,Remote,Verge Genomics,None,None
Software Engineer,"Remote in Hackensack, NJ 07601",Champions Oncology Inc.,None,None
Post-Doctoral Associate,"Remote in College Park, MD 20742",University of Maryland,None,None
"Senior Principal Data Manager, Clinical Data Wrangler",Remote,Cystic Fibrosis Foundation,"$120,150 - $182,500 a year",None
Computational Protein Design (GPCR),"Remote in Menlo Park, CA",BioMap Inc.,None,None
Principal PKPD Statistical Programmer - FSP,Remote,IQVIA,None,None
Online Instructor - Biology,"Remote in Baton Rouge, LA 70806",State of Louisiana,None,None
Linux and HPCC Systems Engineer,"Remote in Gaithersburg, MD 20877",GeneDx,None,None
"Data Scientist, Data Quality Engineer","Remote in Cambridge, MA",InsideTracker,None,None
Software Engineer/Sr. Software Engineer (REMOTE),"Remote in Cambridge, MA 02142","Flagship Pioneering, Inc.",None,None
"Senior/Staff Field Applications Scientist, AMR Clinical Support Group",Remote,Illumina,None,None
Post-Doctoral Associate - The Hormel Institute (Bioengineering/Gene Therapy),"Remote in Minneapolis, MN",University of Minnesota,None,None
"Research Scientist; School of Medicine, Pediatrics and Marcus Autism Center","Remote in Atlanta, GA 30322",Emory University,None,None
"Senior Scientist/ Associate Director, Sequencing Lab Enablement",Remote,Ginkgo Bioworks,"$130,000 a year",None
Full Stack Software Engineer - Rails / React,Remote,GenoFAB,None,"Experience working on life science problems such as bioinformatics, genomics, image processing, synthetic biology, systems biology."
Site Reliability / Platform Engineer (Expert),"Remote in St. Louis, MO",Bayer,None,"Experience working with scientific datasets, or a background in the application of quantitative science to business problems."
Principal Data Scientist,Remote,Graphite,None,The candidate should have experience in utilizing knowledge representations such as knowledge graphs and biomedical ontologies and implementing natural language…
Principal Statistical Programmer - FSP,"Remote in Durham, NC",Novasyte,None,"Perform, plan and co-ordinate the following for complex studies: (1) the programming, testing, and documentation of statistical programs for use in creating…"
Staff Data Scientist-Lead,"Remote in West Sacramento, CA 95691",Beckman Coulter Diagnostics,None,"8+ years demonstrable experience in experimental design and statistical analysis - sample size calculation, hypothesis test/power analysis."
RESEARCH PROGRAMMER II (Software Engineer)- Wu Lab,"Remote in San Diego, CA",Scripps Research,None,"A degree in a biological or chemical science may be accepted if accompanied with programming education, training, and/or experience."
Software Engineer II- Bedford Lab,"Remote in Seattle, WA 98109",Howard Hughes Medical Institute,None,"This includes command-line applications for bioinformatics and data/workflow management (e.g. Augur, Nextstrain CLI), visualization applications for…"
"Senior Director, Head of Clinical Development Data Science","Remote in Princeton, NJ 08540",Genmab,None,"Proven track record of applying data science methodologies to enhance clinical trial design, execution, and analysis."
Senior Business Analyst,"Remote in Boston, MA 02215",Dana-Farber Cancer Institute,None,"Work will include leading workflow and business process flow analysis, definition and documentation of system requirements, and support of in-house, commercial,…"
Postdoctoral Scholar - Plant Bioinformatics,"Remote in Houghton, MI 49931",Michigan Technological University,None,The methods include fundamental bioinformatics analysis and advanced statistical and mathematical modeling.
"Senior Software Engineer II, Research Platform (Remote)","Remote in South San Francisco, CA 94080",Freenome Holdings,None,"Domain-specific experience in machine learning, computational biology, genomics or a related field is a plus, but not required!"
Cloud Developer,Remote,Tanaq Management Services LLC,None,"Collaborate with current teams (e.g., HPC and security teams), developers and bioinformaticians."
Postdoctoral Fellow,"Remote in Santa Barbara, CA",ViQi,None,"Emphasis will be placed on members of socio-economic disadvantaged groups, members of underrepresented groups in science and engineering, persons with…"
Data Engineer (Remote),"Remote in Phoenix, AZ 85004",U-Haul,None,Proficient in data analysis and visualization using Python and application PowerBI.
Bioinformatician/Research Data Analyst (Hybrid or Remote),"Remote in Stanford, CA",Stanford University,"$72,000 - $126,000 a year","Strong background in bioinformatics and biostatistics, including analysis of high-throughput sequencing data."
USDA-ARS SCINet/AI-COE Postdoctoral Fellowship: Genomics of High-Consequence Fungal Plant Pathogens,"Remote in Frederick, MD",U.S. Department of Agriculture (USDA),None,"Because of this, the Fellow is also well poised to develop first-of-its-kind computational workflows to be used for comparative genomics/pangenomics for species…"
Postdoctoral Researcher,"Remote in Baton Rouge, LA 70808",Louisiana State University,None,"The candidate should have background in application of genomics, molecular biology, and bioinformatic tools for crop improvement."
"Bioinformatics/Computational Biologist(R,RNASeq,Multi omics data analysis)",Remote,Tellus Solutions,$58.20 - $59.00 an hour,Prepare each dataset by using data wrangling or data analysis tools or pipelines to generate normalized data matrices or intermediate analysis results.
Bioinformatics Scientist,Remote,Boston Children's Hospital,None,The ideal candidate should have enthusiasm for developing collaborative relationships and a desire to foster the use of bioinformatics data in research studies.
Bioinformatic / Bioinformatics Analyst,Remote,Tellus Solutions,None,Client is looking for a Bioinformatics Analyst II -Computational Oncology Data Curation Scientist in the area of *curation and integration of gene…
Bioinformatics Analyst/ Oncology /Curation/Gene expression,Remote,TellusSolutions,None,"With guidance from GRC Computational Oncology teams, the candidate will query, identify, quality-check the public repositories and harmonize a selected subset…"
Bioinformatics Analyst II,Remote,tellus solutions,None,"This role involves support for the integration, organization, and analysis of large and complex multi-omics datasets, including but not limited to…"
Bioinformatics Analyst II/GENE EXPRESSION/TRANSCRIPTOMICS,Remote,TellusSolutions,None,"The ideal candidate must have previous experience in gene expression analysis, be comfortable using R to do data analysis, and have excellent communication…"
"Bioinformatics(Omics,Data Curation,AWS/HPC, ATACseq,Chipseq,GRC)",Remote,Tellus Solutions,None,"The main objective of the project is to analyze internal and publicly available data with harmonized internal pipelines, including pre-processing of the data,…"
Frontend Engineer,Remote,Virtualitics,None,Our powerful suite of augmented analytical tools allows our clients to harness the power of artificial intelligence (AI) and multidimensional visualizations to…
"Bioinformatics Analyst(NGS,Genomics,RNA sequence,R,Python)",Remote,Tellus Solutions,None,Candidates should have demonstrated proficiency in a Linux environment and high-performance distributed computing and should be knowledgeable in the areas of…
Bioinformatics Analyst (Gene expression/HPC/Cloud Environment),Remote,Tellus Solutions,None,We have an opportunity for a contractor analyst to take on the task of systematic archiving of omic data analysis results according to internal standards.
Bioinformatics Engineer,"Remote in Dallas, TX",Form Bio,None,"Masters with 2 years or bachelor's with 5+ years of bioinformatics research experience in quantitative or basic science (computational biology, bioinformatics,…"
Bioinformatics Scientist II (REMOTE-USA),"Remote in Aliso Viejo, CA 92656",Ambry Genetics Corporation,None,"MS degree in bioinformatics, computational biology, structural biology, biophysics, biology and computer science, or related discipline plus at least 4+ years…"
Bioinformatics/Computational(Oncology Data Curation Scientist),"Remote in South San Francisco, CA",Tellus Solutions,$45.42 - $61.41 an hour,"With guidance from GRC Computational Oncology teams, the candidate will query, identify, quality-check the public repositories and harmonize a selected subset…"
Bioinformatics Engineer,"Remote in Chicago, IL",Tempus,None,2+ years experience in bioinformatics analysis or software engineering.
Staff Bioinformatics Scientist - Machine Learning/Classifier Research and Development #2802 (San Diego),"Remote in San Diego, CA",GRAIL,None,"The company is using the power of next-generation sequencing, population-scale clinical studies, and state-of-the-art computer science and data science to…"
Bioinformatics Analyst II/Genomics/RNA/DNA/,Remote,TellusSolutions,None,We have an opportunity for a contractor analyst to take on the task of systematic archiving of omic data analysis results according to internal standards.
Translational Medicine Senior Scientist,Remote,SpringWorks Therapeutics,None,"Experience in the interpretation, analysis, documentation, and presentation of key findings."
Research Software Engineer,Remote,Sage Bionetworks,None,We are working to establish actionable biomedical observations through the reliable analysis and responsible sharing of representative data.
Fullstack Software Engineer III,Remote,Seed,None,"Our pay ranges are guided by discipline, level and experience required."
R-/SQL//Linux Developer,Remote,ITRGroup,None,"Must have Master's Degree in a computational scientific field (e.g., statistics, bioinformatics, computer science)."
"Bioinformatics Analyst(NGS,Genomics,RNA sequence,R,Python)(PhD)",Remote,Tellus Solutions,None,Candidates should have demonstrated proficiency in a Linux environment and high-performance distributed computing and should be knowledgeable in the areas of…
Senior Bioinformatics Scientist,Remote,"Monoceros Biosystems, LLC",None,"Previous experience with NGS data analysis required (single and bulk RNA sequencing, mutation analysis, copy number, RNA editing, …)."
PKPD Modeling & Simulation Scientist,Remote,Metrum Research Group,None,Perform model-based meta-analysis of therapeutic area summary-level data.
Scientist Sr/Pr - Data Scientist,"Remote in Boulder, CO",Think Bioscience,"$100,000 - $180,000 a year","The candidate should have expertise in standard methods of network analysis, statistical analysis, machine learning (e.g., supervised, unsupervised, deep, and…"
"Bioinformatics Scientist, Solid Tumor Oncology","Remote in Redwood City, CA",Tempus,"$120,000 - $160,000 a year","Design and conduct analysis to evaluate improvements in variant calling, classification, data modeling, and analysis systems."
Structural Biologist II (REMOTE-USA),"Remote in Aliso Viejo, CA 92656",Ambry Genetics Corporation,None,"At least 3 years research and development experience in related fields (such as computational structural biology, computational biology, computational molecular…"
Director / Associate Director of Production Bioinformatics,Remote,TwinStrand Biosciences,None,"Expert knowledge of current bioinformatics analysis methods, file formats, resources."
"Bioinformatics Analyst(NGS,Genomics,RNA sequence,R,Python,AWS,HPC)",Remote,Tellus Solutions,None,Candidates should have demonstrated proficiency in a Linux environment and high-performance distributed computing and should be knowledgeable in the areas of…
Senior Bioinformatics Role at Cancer Diagnostics Company,Remote,Genomic Expression Inc,None,"This person must be skilled in all facets of bioinformatics analysis, and possess deep expertise in analysis of tumor RNA and DNA sequencing data."
Senior Software Engineer,Remote,Bitscopic,None,Clear communication around technical concepts and ideas to other engineers and the ability to talk to customers and other teams.
Senior Data Engineer,Remote,Valdera,None,Proficient with statistical data analysis and modeling.
Data Scientist I - Genetics Analysis,"Remote in Roslindale, MA 02131","Hebrew SeniorLife, Inc.",None,Designs and implements reusable bioinformatics analysis pipelines for processing genetics/genomics data and integrates computational methods/pipelines within…
Sr. Bioinformatics Scientist,"Remote in Bethesda, MD 20892",Columbus Technologies,None,"Develop and maintain bioinformatic analysis pipelines in support of multiple laboratories pursuing gene discovery, gene therapy, and related clinical research…"
"Senior Bioinformatics Scientist, Solid Tumor RNA Oncology","Remote in Redwood City, CA",Tempus,"$140,000 - $180,000 a year","Design and conduct analysis to improve variant calling, classification and analysis systems."
Sr. Clinical Health Informaticist,Remote,IT Concepts,None,"Degree in Medicine, nursing, bioinformatics, or health science."
"Research & Development Scientist / Senior Scientist, Molecular Genomics (USA Based - Remote)",Remote,Emergent HeadHunters,None,"Minimum of four years working in an assay development environment, bioinformatics, and data analysis."
"Senior Bioinformatics Data Scientist, Liquid Biopsy","Remote in Boston, MA 02215",Tempus,None,Communicate with outside scientific teams as well as product and bioinformatics leadership.
CWMD Biologist/Health Analyst,"Remote in Lorton, VA 22079","Joint Research and Development, LLC",None,Serves as a technical/scientific resource on projects by providing R&D analysis to the Defense Threat Reduction Agency Research and Development Chemical…
Lead Data Scientist,"Remote in San Carlos, CA 94070",Natera,None,Participates in the design and prototyping of cutting-edge algorithms for analysis of genetic data.
"Computational Biologist, Translational Science - Location Flexible","Remote in Redwood City, CA",Tempus,None,"Collaborate with Research, Engineering & Data Science teams to develop and deliver innovative computational solutions."
Staff Machine Learning Engineer,Remote,Absci,None,"Experience in computational protein design, bioinformatics, computational genomics, immunology, structural biology, antibody engineering, or related fields."
Senior Biostatistician,Remote,Redbock- an NES Fircroft company,None,Work collaboratively with cross-functional teams to meet study/product deliverables and timelines for statistical data analysis and reporting.
Principal Data Scientist,"Remote in New Haven, CT","Adela, Inc.",None,"PhD in data science, statistics, math, bioinformatics, computer science, or a related field with 10+ years of relevant industry experience."
"Product Manager, Platform","Remote in Miami, FL","Galatea Bio, Inc.",None,"Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
"Variant Scientist, Product and Automation Analyst","Remote in Chicago, IL",Tempus,None,This position will work under the direction of the Product and Automation Lead and responsibilities will be split between product and automation efforts (50%)…
"Director of Bioinformatics, Genomic Scientist - Ph. D. (USA Based-Remote)",Remote,Emergent HeadHunters,None,"Establish processes for data gathering, storage, analysis; and blending both open-source, third party and proprietary computational algorithms."
Sr Software Engineer,Remote,Natera,None,Implementation of bioinformatics analyses and applications workflows.
Field Applications Scientist – US West,Remote,"Mirus Bio, LLC",None,"Bachelor’s degree (in Molecular Biology, Biochemistry, Genetics, Biology, Chemistry, Bioinformatics) or a life sciences-related discipline with a minimum of 4…"
Biostatistician IV (Infectious Diseases) - remote U.S. MHRP,Remote,Henry M. Jackson Foundation for the Advancement of...,"$104,200 - $125,000 a year","DCAC is an in-house centralized resource for clinical data management, biostatistical analysis, reporting, and training in support of clinical trials and…"
Software Engineering Manager,"Remote in Rockville, MD 20850",Axle Informatics,None,"Manage multiple teams of software engineers (4-7 on average), including task planning and code reviews."
Full Stack - Software Developer (Socrata),"Remote in Rockville, MD 20852",Axle Informatics,None,Experience with molecular biology laboratory techniques and bioinformatics methods.
"Director of Research & Development, Assay Development, Molecular Genetics (USA Based - Remote)",Remote,Emergent HeadHunters,None,"Experience with data analysis of large data sets, preferably in-depth analysis of NGS data using analysis packages such as R, Python, or JMP."
"Senior Biostatistician, Medical Affairs","Remote in Boston, MA 02215",Tempus,None,"Collaborate with internal and external stakeholders in the design, analysis, and interpretation of clinical real-world studies."
Sr. Software Developer,"Remote in Bethesda, MD",NIH-NCBI,None,"Work with a diverse group of scientists, bioinformaticians and other developers across the center to implement efficient bioinformatics algorithms."
"Sr. Scientist, Computational and Structural Biology","Remote in Pittsburgh, PA",Peptilogics,None,"Identify, develop, and implement robust computational methodologies for understanding peptide-protein complexes and their properties, including docking,…"
Community Manager - Computational Biology,"Remote in South San Francisco, CA",Deep Origin,None,"Foster relationships with key opinion leaders in the life science industry, academia, and bioinformatics communities to better understand user needs and inform…"
Data Integration Engineer - Remote,"Remote in Washington, DC","Inteliquet, Inc",None,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
Data Scientist (Remote),"Remote in Cary, NC",Acentra Health,None,"Master's or Ph.D. degree in computer science, data science, bioinformatics, or a related field."
Senior Software Engineer,"Remote in Hayward, CA 94545",Biolog,"$140,000 - $200,000 a year","Develop software for a wide variety of uses including instrumentation control, bioinformatics, workflow, and data management."
Senior Bioinformatician,"Remote in South San Francisco, CA",Deep Origin,None,"Expert in data science best practices (quality-control, exploratory data analysis, existing industry standard open-source tools, data structures)."
Computational Science Platform Engineer,"Remote in Boston, MA",MResult Services,None,Good to have experience with engineering bioinformatics pipelines.
Post-Doctoral Research Fellow - Computational Biology in Single-Cell Multi-Omics,"Remote in Roslindale, MA 02131","Hebrew SeniorLife, Inc.",None,"Doctorate degree (PhD, ScD and/or MD) in computational biology, statistical genetics, quantitative genomics, bioinformatics or relevant area."
Machine Learning Engineer,"Remote in New York, NY",Blackbird.AI,None,"Contribute to research and development focusing on the following areas: information extraction, multilingual NLP, automated summarization, graph network…"
Biostatistician (PhD or Masters degree in Statistics),Remote,"IT Engagements,Inc.",$50 - $51 an hour,Prepares statistical analysis plans in both slide and text form.
Post Doctoral Associate,"Remote in Worcester, MA 01605",University of Massachusetts Medical School,None,"PhD in cellular and molecular biology, cellular and molecular physiology, biochemistry or related biological/biomedical science."
"Principal Scientist, Machine Learning / Protein Design","Remote in New York, NY",Ordaos Bio,None,"Ph.D. in computer science, engineering, statistics, structural bioinformatics, or similar with 8+ years of relevant experience."
Genomics Software Engineer,"Remote in Cambridge, MA","TileDB, Inc.",None,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Software Engineer,Remote,"Gencove, Inc.",None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
Scientist - Data Management and Communications,"Remote in Takoma Park, MD",Gryphon Scientific,None,"In leading these projects, a Scientist should be able to independently devise project methodology, oversee multidisciplinary teams, communicate effectively with…"
Sr. DevOps Engineer,"Remote in Rockville, MD 20852",Axle Informatics,None,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Postdoctoral Fellow - Psychiatric Genetics/Addiction,"Remote in Bethesda, MD 20814",The Henry M. Jackson Foundation for the...,"$47,600 - $60,000 a year","Candidates with skills in data management and analysis (R, Python, SAS), computer science (R, Python, Linux) and statistics are strongly encouraged to apply."
